Date,Open,High,Low,Close,Adj Close,Volume
2022-04-26,261.000000,261.179993,252.389999,252.559998,250.373917,1344000
2022-04-27,253.100006,257.859985,251.759995,253.139999,250.948898,1752500
2022-04-28,257.350006,263.609985,254.330002,262.089996,259.821442,1038400
2022-04-29,258.609985,261.390015,250.179993,250.570007,248.401154,1211200
2022-05-02,250.070007,253.940002,246.800003,253.860001,251.662643,2316400
2022-05-03,253.940002,255.339996,251.710007,253.639999,251.444565,1367500
2022-05-04,253.850006,262.440002,249.589996,261.890015,259.623169,1416900
2022-05-05,258.309998,258.589996,245.839996,248.809998,246.656372,1516400
2022-05-06,246.979996,249.460007,241.639999,245.399994,243.275879,2374400
2022-05-09,240.630005,242.070007,233.419998,234.589996,232.559433,2225400
2022-05-10,239.779999,241.050003,232.970001,236.559998,234.512405,1730300
2022-05-11,234.910004,238.910004,228.929993,229.559998,227.572998,3316500
2022-05-12,226.289993,233.020004,224.160004,229.190002,227.206192,2284500
2022-05-13,232.820007,238.979996,231.880005,237.809998,235.751572,1611100
2022-05-16,236.080002,237.720001,233.669998,234.699997,232.668503,1355700
2022-05-17,239.559998,240.589996,235.779999,240.320007,238.239853,1315200
2022-05-18,236.559998,237.330002,228.250000,229.210007,227.226028,1456700
2022-05-19,227.949997,232.589996,227.199997,229.000000,227.017838,1541800
2022-05-20,231.820007,232.500000,222.139999,228.649994,226.670868,2171000
2022-05-23,229.809998,233.039993,227.619995,232.809998,230.794846,1479300
2022-05-24,228.520004,229.000000,223.500000,227.559998,225.590302,1102000
2022-05-25,226.110001,232.130005,226.110001,230.490005,228.494965,1153600
2022-05-26,230.199997,237.899994,230.100006,236.789993,234.740402,1246400
2022-05-27,239.110001,245.029999,239.110001,245.000000,242.879364,1732200
2022-05-31,244.490005,246.220001,241.110001,243.830002,241.719467,1173800
2022-06-01,245.419998,247.470001,240.419998,241.919998,239.826004,1036500
2022-06-02,240.979996,249.490005,240.039993,249.419998,247.261078,1153900
2022-06-03,245.309998,246.449997,242.210007,243.229996,241.124649,1035800
2022-06-06,246.610001,247.929993,243.139999,244.139999,242.026779,1189400
2022-06-07,241.610001,246.839996,240.649994,246.360001,244.227570,1209500
2022-06-08,245.990005,247.600006,243.919998,244.419998,242.304367,903100
2022-06-09,243.050003,245.009995,237.770004,237.800003,235.741669,808700
2022-06-10,233.399994,233.809998,228.690002,228.789993,226.809647,1713500
2022-06-13,221.889999,223.279999,217.520004,218.320007,216.430298,3136100
2022-06-14,219.410004,220.550003,216.490005,218.419998,216.529419,2373700
2022-06-15,221.130005,226.929993,219.080002,223.850006,221.912445,1684500
2022-06-16,218.169998,218.320007,213.190002,214.970001,213.109283,1808800
2022-06-17,215.020004,219.449997,214.149994,217.309998,215.429031,1998800
2022-06-21,220.649994,224.750000,220.649994,222.839996,220.911179,1576800
2022-06-22,220.500000,225.960007,220.000000,222.839996,220.911179,1521800
2022-06-23,224.389999,227.429993,222.589996,226.759995,225.121506,1382300
2022-06-24,228.850006,235.250000,228.830002,235.250000,233.550171,1503900
2022-06-27,235.570007,236.199997,231.850006,232.759995,231.078171,1213900
2022-06-28,233.250000,235.160004,225.199997,225.300003,223.672073,1282000
2022-06-29,225.229996,227.009995,223.229996,225.750000,224.118820,1084800
2022-06-30,223.009995,225.419998,219.029999,222.889999,221.279495,1078700
2022-07-01,222.160004,225.320007,220.940002,225.059998,223.433792,1005900
2022-07-05,222.050003,229.020004,220.710007,228.970001,227.315567,1370300
2022-07-06,229.020004,231.860001,227.679993,230.160004,228.496964,961400
2022-07-07,230.699997,235.270004,230.699997,234.820007,233.123291,1029200
2022-07-08,232.509995,235.949997,231.679993,234.740005,233.043884,888600
2022-07-11,232.759995,233.029999,229.610001,230.440002,228.774948,913300
2022-07-12,230.910004,232.710007,226.130005,227.429993,225.786682,1632000
2022-07-13,223.220001,228.509995,222.259995,226.699997,225.061951,1277700
2022-07-14,224.679993,227.639999,221.750000,227.050003,225.409424,1097200
2022-07-15,229.470001,231.330002,228.559998,231.240005,229.569168,1799800
2022-07-18,233.460007,234.770004,228.470001,229.270004,227.613388,1286100
2022-07-19,232.279999,236.800003,230.910004,236.589996,234.880493,944800
2022-07-20,236.740005,241.369995,236.589996,240.339996,238.603378,1036700
2022-07-21,240.699997,244.190002,238.800003,244.160004,242.395798,1934400
2022-07-22,243.389999,245.039993,238.410004,239.839996,238.106995,1110800
